Name,Brand,Model,Inches,Price,Price_Category,DisplayType,Resolution,Colour,Width,Height,PPI,Original_Brand
vise vs32hga4b 32 inch (81 cm) led hd-ready tv,Vise,vs32hga4b 3,32,13990,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,vise
lg 43uq7350pta 43 inch (109 cm) led 4k tv,Lg,43uq7350pta 4,43,34990,Mid-range,4K,3840x2160,Black,3840,2160,102.46,lg
panasonic th-55mx700dx 55 inch (139 cm) led 4k tv,Panasonic,th-55mx700dx 5,55,50800,Mid-range,4K,3840x2160,Black,3840,2160,80.11,panasonic
panasonic th-43mx700dx 43 inch (109 cm) led 4k tv,Panasonic,th-43mx700dx 4,43,36890,Mid-range,4K,3840x2160,Black,3840,2160,102.46,panasonic
lloyd 32hs550e 32 inch (81 cm) led hd-ready tv,Lloyd,32hs550e 3,32,14490,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,lloyd
samsung ua50cu7700k 50 inch (127 cm) led 4k tv,Samsung,ua50cu7700k 5,50,57900,Mid-range,4K,3840x2160,Black,3840,2160,88.12,samsung
aiwa magnifiq as32hdx1 32 inch (81 cm) led hd-ready tv,Aiwa,magnifiq as32hdx1 3,32,13110,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,aiwa
samsung the serif qa55ls01bakl 55 inch (139 cm) qled 4k tv,Samsung,the serif qa55ls01bakl 5,55,69990,High-end,4K,3840x2160,White,3840,2160,80.11,samsung
samsung qa65s95cak 65 inch (165 cm) oled 4k tv,Samsung,qa65s95cak 6,65,267490,Luxury,4K,3840x2160,Other,3840,2160,67.78,samsung
lg 70uq8040psb 70 inch (177 cm) led 4k tv,Lg,70uq8040psb 7,70,93990,High-end,4K,3840x2160,"907 x 59.9 mm
Weight: 28.4 kg",3840,2160,62.94,lg
feltron ft-3209(sfl) 32 inch (81 cm) led hd-ready tv,Feltron,ft-3209(sfl) 3,32,7899,Budget,LED HD-Ready,1366x768,Black,1366,768,48.97,feltron
t-series 32two 300h 32 inch (81 cm) led hd-ready tv,T-series,32two 300h 3,32,11990,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,t-series
samsung ua60bu8000k 60 inch (152 cm) led 4k tv,Samsung,ua60bu8000k 6,60,81990,High-end,4K,3840x2160,Black,3840,2160,73.43,samsung
haier le50k7700hqga 50 inch (127 cm) led 4k tv,Haier,le50k7700hqga 5,50,43200,Mid-range,4K,3840x2160,Black,3840,2160,88.12,haier
samsung ua32t4350bk 32 inch (81 cm) led hd-ready tv,Samsung,ua32t4350bk 3,32,18990,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,samsung
samsung qa65qn85aak 65 inch (165 cm) qled 4k tv,Samsung,qa65qn85aak 6,65,159990,Premium,4K,3840x2160,Other,3840,2160,67.78,samsung
lg 75up8000ptz 75 inch (190 cm) led 4k tv,Lg,75up8000ptz 7,75,119990,Premium,4K,3840x2160,Black,3840,2160,58.74,lg
lg oled65g1ptz 65 inch (165 cm) oled 4k tv,Lg,oled65g1ptz 6,65,219990,Luxury,4K,3840x2160,Black,3840,2160,67.78,lg
samsung ua65au7700k 65 inch (165 cm) led 4k tv,Samsung,ua65au7700k 6,65,69990,High-end,4K,3840x2160,Other,3840,2160,67.78,samsung
samsung ua65au7500k 65 inch (165 cm) led 4k tv,Samsung,ua65au7500k 6,65,90990,High-end,4K,3840x2160,Other,3840,2160,67.78,samsung
salora slv-4501su 50 inch (127 cm) led 4k tv,Salora,slv-4501su 5,50,33999,Mid-range,4K,3840x2160,Black,3840,2160,88.12,salora
xiaomi mi tv 4 55 inch (139 cm) led 4k tv,Xiaomi,mi tv 4 5,55,39999,Mid-range,4K,3840x2160,Black,3840,2160,80.11,xiaomi
hyundai uhdhy43wsr4byi5 43 inch (109 cm) led 4k tv,Hyundai,uhdhy43wsr4byi5 4,43,25999,Affordable,4K,3840x2160,Black,3840,2160,102.46,hyundai
samsung ua43aue70ak 43 inch (109 cm) led 4k tv,Samsung,ua43aue70ak 4,43,34903,Mid-range,4K,3840x2160,Black,3840,2160,102.46,samsung
samsung ua55aue70ak 55 inch (139 cm) led 4k tv,Samsung,ua55aue70ak 5,55,48490,Mid-range,4K,3840x2160,Black,3840,2160,80.11,samsung
