Name,Brand,Model,Inches,Price,DisplayType,Resolution,Colour
thomson 43path4545bl 43 inch (109 cm) led 4k tv,thomson,43path4545bl 4,43,17999,4K,3840x2160,Black
lg 32lm560bptc 32 inch (81 cm) led hd-ready tv,lg,32lm560bptc 3,32,17990,HD-Ready,1366x768,Black
lg 32lq643bpta 32 inch (81 cm) led hd-ready tv,lg,32lq643bpta 3,32,20990,HD-Ready,1366x768,Black
lg 55up7500ptz 55 inch (139 cm) led 4k tv,lg,55up7500ptz 5,55,55990,4K,3840x2160,Other
kodak 65ca0101 65 inch (165 cm) led 4k tv,kodak,65ca0101 6,65,47999,4K,3840x2860,Black
kodak ca pro 55caprogt5014 55 inch (139 cm) led 4k tv,kodak,ca pro 55caprogt5014 5,55,29499,4K,3840x2160,Black
kodak ca pro 50caprogt5012 50 inch (127 cm) led 4k tv,kodak,ca pro 50caprogt5012 5,50,25499,4K,3840x2160,Other
kodak ca pro 65capro5099 65 inch (165 cm) led 4k tv,kodak,ca pro 65capro5099 6,65,42999,4K,3840x2160,Other
kodak 55ca0909 55 inch (139 cm) led 4k tv,kodak,55ca0909 5,55,29999,4K,3840x2860,Black
kodak 75ca9099 75 inch (190 cm) led 4k tv,kodak,75ca9099 7,75,89999,4K,3840x2160,Black
lg 65up7500ptz 65 inch (165 cm) led 4k tv,lg,65up7500ptz 6,65,69990,4K,3840x2160,Other
lg 65uq7500psf 65 inch (165 cm) led 4k tv,lg,65uq7500psf 6,65,69990,4K,3840x2160,Black
oneplus 65u1s 65 inch (165 cm) led 4k tv,oneplus,65u1s 6,65,49999,4K,3840x2160,Black
adsun a-3210s/f 32 inch (81 cm) led hd-ready tv,adsun,a-3210s/f 3,32,8000,HD-Ready,1366x768,Black
adsun a-2400n 24 inch (60 cm) led hd-ready tv,adsun,a-2400n 2,24,5650,HD-Ready,1366x768,Black
kodak 43cap5022 43 inch (109 cm) led 4k tv,kodak,43cap5022 4,43,23999,4K,3840x2160,Black
motorola 43safhdm 43 inch (109 cm) led full hd tv,motorola,43safhdm 4,43,24999,Full HD,1920x1080,Black
motorola 32safhdm 32 inch (81 cm) led hd-ready tv,motorola,32safhdm 3,32,13999,HD-Ready,1366x768,Black
adsun a-2440s 24 inch (60 cm) led hd-ready tv,adsun,a-2440s 2,24,6200,HD-Ready,1366x768,Black
kodak 32hdx900s 32 inch (81 cm) led hd-ready tv,kodak,32hdx900s 3,32,7999,HD-Ready,1366x768,Black
lg 32lq576bpsa 32 inch (81 cm) led hd-ready tv,lg,32lq576bpsa 3,32,22990,HD-Ready,1366x768,Black
nokia 43tauhdn 43 inch (109 cm) led 4k tv,nokia,43tauhdn 4,43,32999,4K,3840x2160,Black
