Brand,Model,Inches,Price,Price_Category,DisplayType,PPI,outlier_flag
Thomson,43 oathpro 2000 4,43,21999,Affordable,4K,102.46,0
Samsung,ua43cue60ak 4,43,33990,Mid-range,4K,102.46,0
Samsung,ua43aue60ak 4,43,33003,Mid-range,4K,102.46,0
Samsung,ua50aue60ak 5,50,40490,Mid-range,4K,88.12,0
Samsung,ua65cue60ak 6,65,69990,High-end,4K,67.78,0
Thomson,alpha 40alpha009bl 4,40,13999,Affordable,Full HD,55.07,0
Vu,65pm 6,65,57999,Mid-range,4K,67.78,0
Lg,55ur7500psc 5,55,43990,Mid-range,4K,80.11,0
Lg,65ur7500psc 6,65,61990,High-end,4K,67.78,0
Lg,50ur7500psc 5,50,40990,Mid-range,4K,88.12,0
Lg,43uq7500psf 4,43,31990,Mid-range,4K,102.46,0
Xiaomi,mi x pro (l55m8-5xin) 5,55,47999,Mid-range,LED 4K,80.11,0
Xiaomi,mi tv 5x 5,50,39999,Mid-range,4K,88.12,0
Sony,bravia kd-43x64l 4,43,40999,Mid-range,4K,102.46,0
Sony,bravia kd-55x74k 5,55,54990,Mid-range,4K,80.11,0
Acer,i series ar43ar2851udfl 4,43,23999,Affordable,4K,102.46,0
Thomson,43path4545bl 4,43,17999,Affordable,4K,102.46,0
Lg,32lm560bptc 3,32,17990,Affordable,HD-Ready,48.97,0
Lg,32lq643bpta 3,32,20990,Affordable,HD-Ready,48.97,0
Lg,55up7500ptz 5,55,55990,Mid-range,4K,80.11,0
Kodak,65ca0101 6,65,47999,Mid-range,4K,73.66,0
Kodak,ca pro 55caprogt5014 5,55,29499,Affordable,4K,80.11,0
